;  [ e-Servicios ]   ;;;;;;;;;;;;;;;;;;
;Búsqueda de centros educativos autorizados por el Mineduc y carreras que pueden impartir.;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
       ;;;;;;;;;;;;;;;;;;;
Importante:;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Para una mejor búsqueda puede seleccionar el departamento y municipio, con base a la ubicación del centro educativo, ingresando el código del establecimiento separado por guiones o el nombre completo o parte de él.;;;;;;;;;;;;;;;;;;;
Un centro educativo puede contar con uno o más códigos de acuerdo con los servicios educativos autorizados (nivel, plan o jornada).;;;;;;;;;;;;;;;;;;;
Las carreras pueden visualizarse únicamente en los códigos de centros educativos que tienen autorizado el Nivel de Educación Media, Ciclo de Educación Diversificada.;;;;;;;;;;;;;;;;;;;
Para visualizar las carreras autorizadas a un centro educativo seleccione el Nivel Escolar: Diversificado.;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Departamento;Municipio;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Nivel Escolar ;;;;;;;;;;;;;;;;;;;
Sector;;;;;;;;;;;;;;;;;;;
Plan;Modalidad;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Código (##-##-####-##);;;;;;;;;;;;;;;;;;;
Nombre;;;;;;;;;;;;;;;;;;;
Dirección;;;;;;;;;;;;;;;;;;;
  ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
CODIGO;;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL;;
21-01-0101-46;;21-01-1198;JALAPA;JALAPA;INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS -INCAS-;AVENIDA CHIPILAPA 1-65, ZONA 2;79224268;JORGE ADELINO PÉREZ UCELO;IRIS JANNETTE AGUIRRE CONTRERAS;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);JALAPA;;
21-01-0104-46;;21-01-1198;JALAPA;JALAPA;INSTITUTO NORMAL CENTROAMERICANO PARA VARONES;CALLE TRANSITO ROJAS, 4-82, ZONA 2, BARRIO SAN FRANCISCO;40645842;JORGE ADELINO PÉREZ UCELO;LISI KARINA ESCOBAR ESPINOZA;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);JALAPA;;
21-01-0105-46;;;JALAPA;JALAPA;INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO 'JALAPA';BARRIO LA DEMOCRACIA;;;;DIVERSIFICADO;PRIVADO;URBANA;CERRADA DEFINITIVAMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);JALAPA;;
21-01-0106-46;;21-01-1193;JALAPA;JALAPA;COLEGIO PARTICULAR MIXTO LICEO JALAPA;CALLE TRANSITO ROJAS 7-60 ZONA 1;79220013;NORA ALCIDA VELÁSQUEZ AGUILAR;EFRAÍN DE JESÚS SALAZAR PERALTA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);JALAPA;;
