;  [ e-Servicios ]   ;;;;;;;;;;;;;;;;;;
;Búsqueda de centros educativos autorizados por el Mineduc y carreras que pueden impartir.;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
       ;;;;;;;;;;;;;;;;;;;
Importante:;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Para una mejor búsqueda puede seleccionar el departamento y municipio, con base a la ubicación del centro educativo, ingresando el código del establecimiento separado por guiones o el nombre completo o parte de él.;;;;;;;;;;;;;;;;;;;
Un centro educativo puede contar con uno o más códigos de acuerdo con los servicios educativos autorizados (nivel, plan o jornada).;;;;;;;;;;;;;;;;;;;
Las carreras pueden visualizarse únicamente en los códigos de centros educativos que tienen autorizado el Nivel de Educación Media, Ciclo de Educación Diversificada.;;;;;;;;;;;;;;;;;;;
Para visualizar las carreras autorizadas a un centro educativo seleccione el Nivel Escolar: Diversificado.;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Departamento;Municipio;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Nivel Escolar ;;;;;;;;;;;;;;;;;;;
Sector;;;;;;;;;;;;;;;;;;;
Plan;Modalidad;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Código (##-##-####-##);;;;;;;;;;;;;;;;;;;
Nombre;;;;;;;;;;;;;;;;;;;
Dirección;;;;;;;;;;;;;;;;;;;
  ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
CODIGO;;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL;;
04-01-0044-46;;04-01-0216;CHIMALTENANGO;CHIMALTENANGO;"ESCUELA NORMAL RURAL NO. 1 ""PEDRO MOLINA""";FINCA LA ALAMEDA;42204284;KARLA YADIRA PÉREZ SALAZAR;EDGAR LEONEL OTZOY CUTZAL;DIVERSIFICADO;OFICIAL;RURAL;ABIERTA;MONOLINGUE;DOBLE;DIARIO(REGULAR);CHIMALTENANGO;;
04-01-0051-46;;04-01-0211;CHIMALTENANGO;CHIMALTENANGO;"COLEGIO MIXTO ""SANTA ANA""";2A. CALLE 5-52 ZONA 4;78391533;ABIMAEL ACUTA ABAJ;MAURO AROLDO FIGUEROA ZAMORA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIMALTENANGO;;
04-01-0053-46;;04-01-0215;CHIMALTENANGO;CHIMALTENANGO;"COLEGIO ""JOSÉ SIMEÓN CAÑAS Y VILLACORTA""";4A. AVENIDA 2-95 ZONA 3;78393574;MARÍA ROSALBA OVALLE CARCUS DE MAXIÁ;IRMA ARACELI MENDOZA ALCÚ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIMALTENANGO;;
04-01-0055-46;;04-020;CHIMALTENANGO;CHIMALTENANGO;INSTITUTO EVANGÉLICO AMÉRICA LATINA;6A. AVENIDA 3-48 ZONA 5;78391447;MARILENA HERNÁNDEZ CABRERA;AXEL EDUARDO ESTRADA CHÁVEZ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIMALTENANGO;;
